addQualifier;inserting a qualifier (i.e., volatile, const, and restrict) of the variable in the list ['a', 'c']
remQualifier;removing a qualifier (i.e., volatile, const, and restrict) of the variable in the list ['a', 'c']
addModifier;inserting a modifier (i.e., long, short, signed, and unsigned) of the variable in the list ['a', 'c']
remModifier;removing a modifier (i.e., long, short, signed, and unsigned) of the variable in the list ['a', 'c']
repContant;replacing a constant with another valid one of a variable in the list ['a', 'c'] 
repBinary;replacing a binary operator with another valid one on the variables in the list ['a', 'c']
repUnary;replacing an unary operator on the variables in the list ['a', 'c']
remUnary;removing an unary operator on the variables in the list ['a', 'c']
repVar;replacing a variable in the list ['a', 'c'] with another valid existing one in the list ['a']  
addIf;inserting a branch (i.e., if) statement with length  1 - 5  lines in the statement body only between line 18 and line 21 in the original given program and reusing the variables in the list ['a'] 
addWhile;inserting a loop (i.e., while or for) statement with length  1 - 5  lines in the statement body only between line 18 and line 21 in the original given program and reusing the variables in the list ['a'] 
addFunction;inserting a function call with length  1 - 5  lines in the statement body only between line 18 and line 21 in the original given program and reusing the variables in the list ['a'] 
addGoto;inserting a goto statement with length  1 - 5  lines in the statement body only between line 18 and line 21 in the original given program and reusing the variables in the list ['a'] 
