addQualifier;inserting a qualifier (i.e., volatile, const, and restrict) of the variable in the list ['e', 'f']
remQualifier;removing a qualifier (i.e., volatile, const, and restrict) of the variable in the list ['e', 'f']
addModifier;inserting a modifier (i.e., long, short, signed, and unsigned) of the variable in the list ['e', 'f']
remModifier;removing a modifier (i.e., long, short, signed, and unsigned) of the variable in the list ['e', 'f']
repContant;replacing a constant with another valid one of a variable in the list ['e', 'f'] 
repBinary;replacing a binary operator with another valid one on the variables in the list ['e', 'f']
repUnary;replacing an unary operator on the variables in the list ['e', 'f']
remUnary;removing an unary operator on the variables in the list ['e', 'f']
repUnary;removing an unary operator on the variables in the list ['e', 'f'] only between line 26 and line 29 in the original given program (if any)
repVar;replacing a variable in the list ['e', 'f'] with another valid existing one in the list ['d', 'e']  
addIf;inserting a branch (i.e., if) statement with length  1 - 5  lines in the statement body only between line 26 and line 29 in the original given program and reusing the variables in the list ['d', 'e'] 
addWhile;inserting a loop (i.e., while or for) statement with length  1 - 5  lines in the statement body only between line 26 and line 29 in the original given program and reusing the variables in the list ['d', 'e'] 
addFunction;inserting a function call with length  1 - 5  lines in the statement body only between line 26 and line 29 in the original given program and reusing the variables in the list ['d', 'e'] 
addGoto;inserting a goto statement with length  1 - 5  lines in the statement body only between line 26 and line 29 in the original given program and reusing the variables in the list ['d', 'e'] 
